text,label
"Certificate of Merit awarded for outstanding achievement in computer science",certificate
"Certificate of Participation issued for attending the programming workshop",certificate
"This is to certify that the student successfully completed the internship program",certificate
"Certificate of Achievement awarded for securing excellent performance in the course",certificate
"Certificate of Completion issued upon successful completion of web development course",certificate
"Certificate of Excellence awarded to the participant for outstanding achievement",certificate
"Certificate of Recognition presented for contribution to the technical event",certificate
"This certificate is proudly presented to the student for successful participation",certificate
"Certificate certifies successful completion of cybersecurity fundamentals training",certificate
"Certificate of Merit presented to the learner for academic excellence",certificate
"Certificate of Participation awarded for attending the annual technology seminar",certificate
"This certificate recognizes the successful completion of data science training",certificate
"Certificate of Appreciation awarded for active participation in the project",certificate
"Certificate of Achievement presented to the candidate for excellent results",certificate
"Training Completion Certificate awarded after successful course completion",certificate
"Internship Certificate certifying successful completion of industrial training",certificate
"Professional Certificate awarded for successfully completing the certification program",certificate
"Project Report Introduction Methodology Implementation Results Conclusion",project
"Software Project Documentation System Design Implementation Testing Results",project
"Final Year Project Report Abstract Methodology Results Conclusion",project
"Machine Learning Project Report Problem Statement Dataset Model Training Results",project
"Web Application Project Report Introduction Requirements Design Development Testing",project
"Software Engineering Project Documentation Architecture Implementation Testing Conclusion",project
"AI Project Report Abstract Literature Review Methodology Experiments Results",project
"Database Management Project Report Introduction Schema Implementation Testing Results",project
"Final Year Engineering Project Abstract Objectives Methodology Results Discussion",project
"Python Application Project Documentation Requirements Design Implementation Testing",project
"Research Project Report Introduction Literature Review Methodology Findings Conclusion",project
"Computer Science Project Report Problem Definition System Design Implementation Results",project
"Mobile Application Project Report Requirements Design Development Testing Evaluation",project
"Cloud Computing Project Documentation Architecture Deployment Testing Results",project
"Cybersecurity Project Report Threat Analysis Methodology Implementation Results",project
"Data Science Project Report Dataset Preprocessing Analysis Model Results Conclusion",project
"Natural Language Processing Project Report Dataset Methodology Experiments Results",project
"Web Development Project Report Introduction Technologies Implementation Testing Conclusion",project
"Automation Project Report Objectives System Design Implementation Evaluation Results",project
"Artificial Intelligence Project Report Problem Statement Model Architecture Training Evaluation",project
"Software Development Project Report Requirements Architecture Coding Testing Deployment",project
"Engineering Design Project Report Objectives Design Methodology Analysis Results",project
"Capstone Project Report Abstract Introduction Methodology Implementation Results",project
"Academic Project Documentation Scope Requirements Design Development Testing",project
"Final Project Report Introduction Objectives Methodology Results Future Work Conclusion",project
"Student Marksheet Subject Marks Grade Semester Total Percentage",marksheet
"Academic Transcript Subject Code Marks Grade Total",marksheet
"Semester Examination Marksheet Student Name Roll Number Subjects Marks Grades",marksheet
"Student Result Sheet Subject Maximum Marks Obtained Marks Grade Percentage",marksheet
"Academic Record Semester Subject Credits Grade Total Marks",marksheet
"University Marksheet Examination Results Subject Marks Grade CGPA",marksheet
"School Report Card Student Name Subjects Marks Grade Total",marksheet
"Semester Result Student ID Subject Code Internal External Total Grade",marksheet
"Academic Transcript Name Roll Number Course Subject Grade Credit",marksheet
"Examination Result Sheet Subject Name Marks Obtained Maximum Marks Grade",marksheet
"Student Performance Report Subjects Marks Percentage Division",marksheet
"College Semester Marksheet Course Code Subject Marks Grade Credits",marksheet
"Annual Examination Result Student Details Subjects Marks Total Percentage",marksheet
"Academic Result Sheet Student Name Registration Number Marks Grade",marksheet
"University Transcript Course Subject Code Credit Hours Grade CGPA",marksheet
"School Marksheet Class Section Roll Number Subject Marks Grade Result",marksheet
"Semester Grade Report Student Information Course Subjects Grades GPA",marksheet
"Examination Mark Statement Subject Maximum Marks Obtained Marks Grade",marksheet
"Student Academic Transcript Semester Subjects Credits Grades Cumulative GPA",marksheet
"Board Examination Marksheet Candidate Name Subjects Theory Practical Total",marksheet
"College Result Statement Enrollment Number Semester Subject Marks Grade",marksheet
"Academic Performance Sheet Student Roll Number Subject Marks Percentage",marksheet
"University Examination Marksheet Program Semester Course Marks Grade",marksheet
"Student Result Card Subject Code Internal Marks External Marks Total Grade",marksheet
"Academic Mark Statement Student Details Subjects Marks Percentage Result",marksheet
